Pergunta,Quantidade de Caracteres (max 200),"Opção ""a""",Num. Caracteres (max 32),"Opção ""b""",Num. Caracteres (max 32),"Opção ""c""",Num. Caracteres (max 32),"Opção ""d""",Resposta,Saiba Mais
Abri uma nova conta de e-mail. Minha senha deve ser:,52,"Fácil, senão você não vai lembrar!",34,"Uma combinação de letras, números e símbolos.",45,Seu aniversário e o nome do seu pet.,36,,b,
Recebi uma mensagem dizendo que ganhei um prêmio da minha lanchonete preferida! O que eu faço?,,Ligue para a lanchonete para confirmar.,39,Chame a galera para aproveitar o prêmio!,40,Responda com os dados que pedirem.,34,,a,
Meu novo amigo virtual está me pressionando pra eu enviar fotos em poses que me deixam com vergonha. Como agir?,111,Isso não está certo! Bloqueie o contato.,40,Conte para um adulto de confiança.,34,As opções a e b estão corretas.,31,,c,
Um colega da escola está me ameaçando e xingando pelas redes sociais desde o começo do ano. O que eu faço?,,Fique na sua. Uma hora ele para. ,33,"Xingue ele também! Bateu, levou!",32,Isso é bullying! Conte para um adulto. ,39,,c,
Um amigo do vizinho de um conhecido meu me mandou um link para eu baixar um game de graça. Será que é seguro?,,"Não, né.",8,É melhor desconfiar de tudo que vem tão fácil.,46,As opções a e b estão corretas.,31,,c,
"Me convidaram pra um ""challenge"" que envolve me ferir pra provar minha coragem. Tô com medo!",,"Denuncie no canaldeajuda.org.br, isso tá errado! ",49,Converse com quem já participou pra saber como é. ,50,"Participe com medo, mesmo! ",27,,a,
Eu tenho antivírus no computador. Preciso ter no celular também?,,Claro. ,7,Com certeza. ,13,As opções a e b estão corretas.,31,,c,
Recebi uma notícia que fala que vacinas fazem mal à saúde. O que eu faço?,,Compartilhe já!,15,"Na dúvida, pesquise e não divulgue.",35,"Divulgue, mas avise que não sabe se é verdade.",46,,b,
"Uso a mesma senha para todas as minhas contas online. Tem problema?

",,Claro! Trate de criar senhas diferentes agora!,46,"Não, fica até mais fácil lembrar.",33,"Problema, não tem, mas é falta de criatividade.",47,,a,
"Para criar uma senha forte, o que posso usar?  ",,Minhas iniciais e data de nascimento.,37,"O nome da minha mãe (te amo, mãe!).",35,"Combine números, letras e símbolos. ",36,,c,
O que é autenticação de dois fatores?,,É aquele teste conhecido também como captcha.,45,É a que exige um código numérico adicional.,43,São lembretes de senha. ,24,,b,
Quais são os riscos de usar wifi público?,,Alguém pode interceptar e roubar seus dados.,44,A rede pode ter vírus que roubam seus dados.,44,As opções a e b estão corretas.,31,,c,
Divulgaram no grupo da minha turma fotos íntimas de uma colega. O que devo fazer?,81,Vou distribuir. Ninguém mandou tirar as fotos.,46,Vou contar a um adulto de confiança.,36,Vou ignorar. As pessoas vão esquecer.,37,,b,
